Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
93,Julie Doyle,us USA,"MF,FW",Pride,25,1998,24,19,"1,365",15.2,2,1,3,2,0,0,2,0,4.2,4.2,3.1,7.3,41,62,106,0.13,0.07,0.2,0.13,0.2,0.28,0.2,0.48,0.28,0.48,Matches
94,Evelina Duljan,se SWE,"FW,MF",Pride,20,2003,8,1,179,2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,10,6,20,0,0,0,0,0,0.05,0.08,0.12,0.05,0.12,Matches
95,Crystal Dunn,us USA,"FW,MF",Gotham FC,31,1992,20,12,"1,056",11.7,1,2,3,1,0,0,2,0,1.8,1.8,2,3.8,29,46,113,0.09,0.17,0.26,0.09,0.26,0.15,0.17,0.32,0.15,0.32,Matches
96,Caprice Dydasco,us USA,DF,Bay FC,30,1993,25,22,"2,025",22.5,0,0,0,0,0,0,2,0,0.2,0.2,2.4,2.6,37,128,74,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11,Matches
97,Cori Dyke,us USA,"DF,MF",Pride,23,2000,21,11,"1,100",12.2,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,15,43,16,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches
98,Elizabeth Eddy,us USA,"DF,MF",Angel City,32,1991,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2,4,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches
99,Emily van Egmond,au AUS,MF,Wave,30,1993,26,19,"1,890",21,1,0,1,1,0,0,3,0,2.5,2.5,1.3,3.8,10,107,51,0.05,0,0.05,0.05,0.05,0.12,0.06,0.18,0.12,0.18,Matches
100,Claire Emslie,sct SCO,FW,Angel City,29,1994,26,24,"1,960",21.8,7,2,9,4,3,4,3,0,7.7,4.5,3.7,8.2,63,66,152,0.32,0.09,0.41,0.18,0.28,0.35,0.17,0.52,0.21,0.38,Matches
101,Sierra Enge,us USA,DF,Wave,23,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Abby Erceg,nz NZL,DF,Louisville,34,1989,26,26,"2,340",26,0,2,2,0,0,0,0,0,0.7,0.7,0.9,1.7,2,48,2,0,0.08,0.08,0,0.08,0.03,0.04,0.06,0.03,0.06,Matches
103,Sinead Farrelly,ie IRL,MF,Gotham FC,34,1989,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
